"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","1002225000","Other mining revenue, not elsewhere classified","445120","Convenience stores","All establishments","D","D","D","D","D"
"United States","2017","2000125000","Manufacturing of beef, fresh and frozen variety meats (edible organs), not canned or made into sausage","445210","Meat markets","All establishments","19","1,485 (s)","0.0","80% to less than 90%","93.1"
"United States","2017","2001375000","Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen","445110","Supermarkets and other grocery (except convenience) stores","All establishments","22,055","3,710,481","13.0","50% to less than 60%","3.2"
"United States","2017","2001375000","Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen","445120","Convenience stores","All establishments","305","6,087 (s)","0.0","60% to less than 70%","45.5"
"United States","2017","2001375000","Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen","445230","Fruit and vegetable markets","All establishments","28","3,836","0.0","Less than 10%","22.7"
"United States","2017","2001375000","Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen","445291","Baked goods stores","All establishments","110","6,696","0.0","50% to less than 60%","28.9"
"United States","2017","2001400000","Manufacturing of soft cakes, (snack, fruit, pound, layer, cheese, etc.), excluding frozen","445110","Supermarkets and other grocery (except convenience) stores","All establishments","18,810","4,443,845","50.6","60% to less than 70%","2.8"
"United States","2017","2001400000","Manufacturing of soft cakes, (snack, fruit, pound, layer, cheese, etc.), excluding frozen","445120","Convenience stores","All establishments","131","2,965","0.0","40% to less than 50%","39.0"
"United States","2017","2001400000","Manufacturing of soft cakes, (snack, fruit, pound, layer, cheese, etc.), excluding frozen","445291","Baked goods stores","All establishments","186","7,339 (s)","0.1","60% to less than 70%","50.0"
"United States","2017","2001425000","Manufacturing of pies (fruit, cream, and custard), excluding frozen","445110","Supermarkets and other grocery (except convenience) stores","All establishments","13,300","531,701","48.9","50% to less than 60%","4.6"
"United States","2017","2001425000","Manufacturing of pies (fruit, cream, and custard), excluding frozen","445120","Convenience stores","All establishments","90","586 (s)","0.1","60% to less than 70%","70.9"
"United States","2017","2001425000","Manufacturing of pies (fruit, cream, and custard), excluding frozen","445291","Baked goods stores","All establishments","184","7,290 (s)","0.7","70% to less than 80%","52.9"
"United States","2017","2001450000","Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets","445110","Supermarkets and other grocery (except convenience) stores","All establishments","15,684","1,780,528","28.0","40% to less than 50%","2.9"
"United States","2017","2001450000","Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets","445120","Convenience stores","All establishments","306","8,699 (s)","0.1","40% to less than 50%","45.9"
"United States","2017","2001450000","Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets","445291","Baked goods stores","All establishments","113","1,865","0.0","40% to less than 50%","24.0"
"United States","2017","2001450000","Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets","445299","All other specialty food stores","All establishments","6","325","0.0","80% to less than 90%","0.0"
"United States","2017","2001575000","Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)","445110","Supermarkets and other grocery (except convenience) stores","All establishments","14,356","740,953","10.3","50% to less than 60%","3.2"
"United States","2017","2001575000","Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)","445120","Convenience stores","All establishments","195","1,763","0.0","70% to less than 80%","26.5"
"United States","2017","2001575000","Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)","445291","Baked goods stores","All establishments","90","2,179","0.0","40% to less than 50%","24.7"
"United States","2017","2001575000","Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)","445299","All other specialty food stores","All establishments","6","174","0.0","80% to less than 90%","0.0"
"United States","2017","2005600000","Manufacturing of jewelry and personal goods (excluding costume), gold and platinum (excluding gold and platinum clad or plated to silver and nonprecious metals)","448310","Jewelry stores","All establishments","D","D","D","D","D"
"United States","2017","2005625000","Manufacturing of jewelry and personal goods (excluding costume), all other precious metals and types, including silver and silver-clad jewelry; jewelry made of precious stones, semi-precious stones, or pearls; and stamped metal coins","448310","Jewelry stores","All establishments","D","D","D","D","D"
"United States","2017","2006300000","Manufacturing of curtains (including window) and draperies, woven and custom, all lengths, all fabrics (including glass), including knit and lace curtains","442291","Window treatment stores","All establishments","D","D","D","D","D"
"United States","2017","2006400000","Manufacturing of curtain and drapery fixtures, poles, and rods (excluding window shade accessories and rollers)","442291","Window treatment stores","All establishments","9","1,338 (s)","1.8","Less than 10%","90.8"
"United States","2017","2017950000","Manufacturing of dental equipment, professional (including dental chairs, dental units, hand pieces, hand instruments, and other equipment), excluding X-ray equipment","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","9","888 (s)","0.0","50% to less than 60%","49.4"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","444220","Nursery, garden center, and farm supply stores","All establishments","1,239","250,098","67.3","30% to less than 40%","8.0"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","453110","Florists","All establishments","331","14,378","3.9","30% to less than 40%","13.6"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","453910","Pet and pet supplies stores","All establishments","5","73","0.0","30% to less than 40%","30.0"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","S","A","S","S","S"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","454110","Electronic shopping and mail-order houses","All establishments","16","73 (s)","0.0","40% to less than 50%","79.5"
"United States","2017","2034910000","Sales of plants, flowers, trees, and other nursery stock grown on site","454390","Other direct selling establishments","All establishments","32","499 (s)","0.1","60% to less than 70%","77.0"
"United States","2017","2045275000","Manufacturing of parts and attachments for small firearms","451110","Sporting goods stores","All establishments","8","9,377 (s)","0.9","50% to less than 60%","46.0"
"United States","2017","2051575000","Embroidery services (excluding Schiffli machine products)","448190","Other clothing stores","All establishments","S","A","S","S","S"
